reco_bureau_id,MIN(months_balance),stat_for_bureau
0001ee4278b97c05d6297168b2beeb6b,-3,X
00030e8a4d8d2ee1cc9742c36f54a4f9,0,C
00039703f91db698eafa66ab5c326c1e,-3,C
00047a8298383e336718ea9ed25948dc,-3,C
0004cef36bd4983ac3e6d0e8dd1c9a5d,-3,X
00055ed4f4745e71dbb25b0b2b40f306,-3,C
0005e021a40d4599a5f6fbca841dd7b3,-3,C
000650e8144e3a42d47a21aee9e48f34,-3,C
0006efcb8dee6d1e4047e7b0e6e3ce1d,-3,C
0009ed1a061313937fa74a6d7b4a0746,-3,X
000ad0bc36a137c29d9125f78494bb2b,-3,C
000ad6042ef368c9ba49f0019ae40028,-3,X
000de9314b3443ca8bad82046b7ffa61,-3,X
000e88fb6d4ddbae44144e5fa78848e0,-3,X
000eaa4d5ed7efd6ed8f64f4cf63e4d4,-3,C
000ed95b412c7d1ba8d953c09681d1b9,-3,0
000f9110b5f55ad6c4ad7c7f4d36da04,-3,0
000fb6567be98b8ced2b8d57cb8bbc9a,-3,C
0011bfe9dc3ce1b3d0d5d5cd59da83e2,-3,0
0013690a0c14fdb38eb51532c57126cb,-3,0
0013fb15685e9bb78e71286f5c74fc14,-3,C
00144beab775cb6f23cc33ea85c33936,-3,X
00146320eae1793e66200576a80d93ae,-3,C
0015356a47e2c6b5c7e3216bfb390b5d,-3,X
0015f84c4d92f8b3528f811bb9af75d4,-3,C
001661ec918cf2ab8a2495e114714663,-3,0
00169716cfc3f0fc8ca637d20e245efd,-3,0
0016c1a2f93d91f84e2afa30388c1b7b,-3,C
0016ea24b7f00ad375401ccee63f872b,-3,C
001770a217dde919f18bf1f75feb360a,-3,C
0017cf8f1418c2ae996bd6625ececa00,-3,C
0018ccdfb8bfa4821e0af0f1026abcdd,-3,0
00195a42d8e6c10d32b3482c8c2ac376,-3,C
001b5364a9caec8250250bc05e28693d,-3,0
001bc0e5a3d89d207de0e84f5481a345,-3,0
001f275d167291bdb4a7798645638a8d,-3,X
001f4c9b03188a273006e14405459e60,-3,C
0021a276c5a32f0d8a085871e8a6383a,-3,X
0021a56b05df84ca99cc85a422f75539,-3,C
0021e3537c61bbc1796367c47f9f473c,-3,C
00228ca644bca81f00a2d4093b27eb8f,-3,X
002315fb29904d4c345a5ebf6e79b636,-3,C
00238e98f115aa72370186cf8cd30ce0,-3,C
0024f03278ffddbce1d875bf6f51f394,-3,C
