reco_id_curr,max_months_balance,max_installment_count,max_installment_future_count,max_contract_status_name
000274f21c484b0eb4960d7955599eac,-1,36.0,12.0,Active
000298d8a61b4f7b0fe5c7fd3d8c4c9c,-2,11.0,4.0,Active
000301f03b49367318d4033ac5141b77,-1,36.0,33.0,Active
00038787e666dbf59f419128a0ee3a66,-2,12.0,8.0,Active
0009282f7b2e3a09d9f4aa4488d12d1d,-1,10.0,7.0,Active
000a3f777828d2cdbee98887561aa130,-2,12.0,8.0,Active
000b264593598fa0a2be157738f76f98,-3,8.0,7.0,Active
000b8be933bdc44880924a5a27b754f5,-1,12.0,11.0,Active
000c6ca7604bfc9974d22f5f1cdf54aa,-1,12.0,8.0,Active
000cc9657493b07eadec7d31ec3e1d7d,-1,12.0,8.0,Active
000ce6cfab1820e2ec3d8b56dea07ff4,-2,12.0,7.0,Active
000d896add89082625aef352c52277fc,-4,14.0,5.0,Active
0010a92b1e3d7bae2a23cfbc1f2e8edd,-2,24.0,19.0,Active
00113307bbb0e303cbdf01421d5c653b,-1,12.0,8.0,Active
0012b2aed5203803fec32ea4297c20ca,-1,6.0,6.0,Active
00148271d12aebd8c3f9d0d7c3270585,-1,12.0,9.0,Active
0015b0cc8094ba6eab1ad843267a79f8,-2,30.0,14.0,Active
0015c311fea3ca2e3a18218cc6c98708,-1,12.0,5.0,Active
00169375170ab4aead2747d4afeb018c,-1,12.0,3.0,Active
0017baaf295b1b5fed679a29c7780a90,-7,10.0,5.0,Active
001ad3d313c0de0e33e2c67729e6b29e,-1,36.0,22.0,Active
001b281c3a82ddab4391944d4cd969f4,-2,10.0,3.0,Active
001cd3eef5a8c8c9134e5f0b14b78716,-5,10.0,2.0,Active
001cebd27b137615d4c02fa726b6541c,-4,24.0,16.0,Active
001d072dcbab415c68d1e8744f061bf5,-2,24.0,15.0,Active
0021cf7cbbc6ed9b79213c188f6dab66,-1,18.0,6.0,Active
00262fbd3f707919a7e5e4d1d4e8c419,-1,24.0,10.0,Active
002b45c589f33cd8131ddec3151283fa,-2,24.0,13.0,Active
002c28f75d3734910247d97adfaaa5bd,-1,48.0,29.0,Active
002df4a5a0ae894b849b0f1df7f266bd,-8,12.0,0.0,Completed
002f30c859fd37094037a2320211fe5e,-1,24.0,21.0,Active
00345fc3cda4f6f3b3d44af07c2c0955,-2,36.0,25.0,Active
00347b260c556fac999d3db5d4e35a8d,-2,12.0,10.0,Active
00349aafadc1404ae1e902a8b0a08dfd,-5,12.0,0.0,Completed
003666209fe7c31c1250d85446530bb4,-3,12.0,6.0,Active
00399c336d94ad5e051c756fc604f01c,-2,12.0,5.0,Active
003a615544a42560dd6fa790ab168c50,-1,12.0,3.0,Active
003bf33ba7b8807f0adadb3b00eba89e,-3,24.0,6.0,Active
003c56e78baef158283fe9ac5203699c,-1,24.0,4.0,Active
003c781d2f1bb550da9a3c6cac0ffdc6,-1,18.0,18.0,Active
003d57516612d57ec4510c9c03a5c9b6,-2,18.0,5.0,Active
003e5c033f0081df4a7925f6a8fbbadb,-2,12.0,4.0,Active
003f9c2fb3c0805ed28b289aed99077e,-1,12.0,8.0,Active
