reco_id_curr,f_number_of_instalment_num,f_installment_due_date,f_installment_due_date,f_days_entry_payment,f_first_payment_requested,f_payment
000cc9657493b07eadec7d31ec3e1d7d,1,-140.0,-140.0,-140.0,230.985,230.985
0010a92b1e3d7bae2a23cfbc1f2e8edd,1,-98.0,-98.0,-98.0,164.295,164.295
0012b2aed5203803fec32ea4297c20ca,1,-228.0,-228.0,-230.0,7206.98,7206.98
00262fbd3f707919a7e5e4d1d4e8c419,1,-452.0,-452.0,-452.0,30109.5,30109.5
002f30c859fd37094037a2320211fe5e,1,-1974.0,-1974.0,-1977.0,4500.0,4500.0
0048b6a494b5510056aaedc510489a6d,3,-2051.0,-2051.0,-2062.0,5625.0,5625.0
005170e25926c81ee3e4d28498109b79,1,-325.0,-325.0,-321.0,3536.28,3536.28
0057b8630a4b1b82a06f5ec8fb19e7e1,1,-1384.0,-1384.0,-1384.0,4500.0,4500.0
005d8a8b4a836813a1d2c57f8e7d6646,1,-549.0,-549.0,-550.0,8756.78,8756.78
005e92a58334ac29946cd0e4e6778167,1,-1841.0,-1841.0,-1841.0,427.635,427.635
005f49f3c5491bc4e33b309d21c05e75,1,-110.0,-110.0,-108.0,8563.59,8563.59
0069a98ce9a5beeca391ea7ae5b594bc,1,-182.0,-182.0,-193.0,11690.3,11690.3
006be3822e376c000ab7b9f123934ef5,1,-11.0,-11.0,-11.0,927.0,927.0
007d48a2bc006e6eac0348c788d26dfd,1,-287.0,-287.0,-287.0,2895.61,2895.61
007fabf2a139afc03210c61b270be7aa,1,-1127.0,-1127.0,-1127.0,232.875,232.875
0086212f18f5177e6625f8c1f9ce07a7,1,-285.0,-285.0,-304.0,130.5,45.0
008903c35f935498eb351c6ed9a1fd50,1,-275.0,-275.0,-277.0,2250.0,2250.0
009980e6917bfcab7759fd0dfd38a462,13,-1777.0,-1777.0,-1777.0,26.775,26.775
009d8aa2721be995c7a3b2a21a9bd369,1,-1077.0,-1077.0,-1077.0,41.715,41.715
00a0e0c28cd1aba415bd23422532ecc2,1,-274.0,-274.0,-271.0,8044.38,8044.38
00a1b6a8fb315bc71d0f3162a0c22a1b,1,-3.0,-3.0,-3.0,720.0,720.0
00b029e4d3a0f551ab188e975591ae52,1,-133.0,-133.0,-134.0,19022.0,19022.0
00b8c10c5466e8b809e698f04868852d,1,-77.0,-77.0,-77.0,189.54,189.54
00ba8ffa310bdc3d3b0bdee9bbd6e1d1,1,-27.0,-27.0,-27.0,81528.5,81528.5
00bc0b18d4fff31102dfcefd013d04e1,1,-36.0,-36.0,-44.0,8097.93,8097.93
00c1e324f430fb49f5f31bbc4e52291d,6,-2750.0,-2750.0,-2750.0,51525.0,51525.0
00c5d6423c93a7a1d5f2c0a51078cdf8,1,-29.0,-29.0,-29.0,900.0,900.0
00caf61ebd7ad68f8a5a67cd3a7efba5,1,-461.0,-461.0,-440.0,2323.49,2323.49
00cf38eddf9b182999f715b208bfcf7e,1,-880.0,-880.0,-880.0,416.925,416.925
00d7ce26ce058ca1a544820afc41f6d0,1,-1275.0,-1275.0,-1305.0,6750.0,4500.0
00d99bf64657107054bf3d37e0a04926,1,-1757.0,-1757.0,-1740.0,67.5,67.5
00dcd400be7c34902fea6bf3e7023c1a,1,-386.0,-386.0,-386.0,24750.0,24750.0
00e12f7d2f847ccaeee1731e691c91f2,1,-399.0,-399.0,-403.0,8806.46,8806.46
00e5170ac32b37f13d58ba7d2997aaae,1,-126.0,-126.0,-126.0,18165.1,18165.1
00e761cf52db0ab190c397d758860d55,1,-240.0,-240.0,-240.0,2897.24,2897.24
00f1eeeee1a76cae11424b3ee15f7339,1,-362.0,-362.0,-362.0,113.58,113.58
00f56d23ee7c03ac71e8e95a1f227194,1,-149.0,-149.0,-149.0,98.19,98.19
01000eb692eab63c6f53e6b0552b3997,1,-532.0,-532.0,-532.0,1228.68,1228.68
0102f5e18768092942ea213a2eb31135,1,-211.0,-211.0,-211.0,36000.0,36000.0
0103169227a7b827467be71528f7e7cc,1,-90.0,-90.0,-91.0,7640.91,7640.91
0106c552c745409bccf171e2e06db716,1,-1424.0,-1424.0,-1424.0,290.79,290.79
0106f883dfcf43dea809317c0dfbeed1,1,-1272.0,-1272.0,-1280.0,7875.0,7875.0
010d2cf4dd26c8b2469a8fb7ea13398a,1,-35.0,-35.0,-33.0,6970.0,6970.0
010d699164ea069aebebd40d33b90f2d,1,-1064.0,-1064.0,-1067.0,4600.71,4600.71
010fde00b6a42505ebafb28185d300e3,1,-271.0,-271.0,-271.0,85267.4,85267.4
01158c46d941ae93abe775bdf1a9b2e7,1,-101.0,-101.0,-116.0,9428.0,9428.0
0124185198c04863f15e575d2f5cad70,1,-224.0,-224.0,-224.0,178.425,178.425
0130f3483d5e3e43cdc5646ba62e0d2d,1,-615.0,-615.0,-615.0,335.52,335.52
0132611432738efda23df46ac63566ca,1,-409.0,-409.0,-409.0,2.745,2.745
0133330dbc34f1b6b409514ef512dc0f,1,-355.0,-355.0,-356.0,5331.06,5331.06
013d356164b85e03f7c97e3d862a6502,1,-544.0,-544.0,-544.0,395.955,395.955
0142d4614ec6d4345adcc2590ecbb40e,1,-1115.0,-1115.0,-1118.0,7875.0,2250.0
014739da0049e8e3997314fb20a331f3,1,-913.0,-913.0,-913.0,183560.0,183560.0
014be0a8993bcd0ae5b5263ca65a4673,1,-197.0,-197.0,-197.0,11.25,11.25
0156a4a05cfa67ed7251d75ed94ce6eb,1,-251.0,-251.0,-251.0,364.905,364.905
0156b2354dbfac532599c5d359cb4f9b,1,-1212.0,-1212.0,-1212.0,217.125,217.125
015ebafc849626dc9c5755a9ef469b5a,1,-64.0,-64.0,-64.0,51.615,51.615
0163a2b38b3fdd859fc899b3406be422,1,-118.0,-118.0,-118.0,450.0,450.0
0172b89568e352a6ab6ceef6eb8dbeb8,1,-4.0,-4.0,-4.0,130.5,130.5
017d0aed7bb58f978251bc01a4f4b2a8,1,-2312.0,-2312.0,-2312.0,36000.0,36000.0
018512121999cde9f4aab01b6a474140,1,-212.0,-212.0,-212.0,354.285,354.285
0190bee478481861793abb15d52b9638,1,-133.0,-133.0,-137.0,15370.7,15370.7
0192a26e7c8fabafd82083eb8cc9e0f7,19,-731.0,-731.0,-731.0,157.275,157.275
019463fcd64446b24c27538647b8387d,5,-337.0,-337.0,-337.0,2085.75,2085.75
01949f176a73ed4ee9ce13d06a1e3478,1,-334.0,-334.0,-334.0,32657.7,32657.7
0196d6dbb29b932630b9865825c02dbc,1,-1729.0,-1729.0,-1729.0,1125.0,1125.0
01a318c393802dde05b901c09a5930ba,1,-2826.0,-2826.0,-2826.0,7969.5,7969.5
01a48a39ef6612ee8c453fb0b0ca73ee,11,-232.0,-232.0,-232.0,822.78,822.78
01ae6fe60eedbd29a63e385654f76759,1,-980.0,-980.0,-999.0,748.53,748.53
01b55fa6beeca5278c8d6607a0a245d2,1,-40.0,-40.0,-41.0,2506.68,2506.68
01bfe6115ea653d2ae4c4c0cb28ca8e4,1,-932.0,-932.0,-932.0,0.225,0.225
01c09e69c131300a54fb82af88a4ea65,1,-525.0,-525.0,-525.0,2037.46,2037.46
01c1833e0959cf3083a1b4588f99a71b,1,-318.0,-318.0,-318.0,823.095,823.095
01cda22925d3975cd0202a796fba9e5c,1,-155.0,-155.0,-157.0,2250.0,2250.0
01cee0644a26ad5da0dc188036271969,1,-378.0,-378.0,-378.0,4500.0,4500.0
01cf03095400debb06203aef741306c6,1,-70.0,-70.0,-71.0,7078.77,7078.77
01d6eb30308497f6f6ecce2866ae9296,1,-963.0,-963.0,-963.0,7.785,7.785
01e2a3d6e64252bb4a02ba089f13b717,1,-2326.0,-2326.0,-2326.0,156.24,156.24
01e2b25bd487536827f6383cbf3a338d,1,-221.0,-221.0,-221.0,103.95,103.95
01e4e8de14fbd6339309a4f60e6adeca,1,-52.0,-52.0,-71.0,2250.0,2250.0
01e5095353f6c68548cdeacf2bebc89d,1,-170.0,-170.0,-178.0,9291.29,9291.29
01eaed4c814a35511e3cfe6b80193006,1,-51.0,-51.0,-57.0,6580.4,6580.4
01f1de19bc76a431cee54a381a3e923b,1,-550.0,-550.0,-561.0,2250.0,2250.0
01f4aeae626bd50c928bdedb602af598,1,-698.0,-698.0,-698.0,25.875,25.875
01f66a229133db894a1eea59d0e9cde4,1,-40.0,-40.0,-42.0,5138.64,5138.64
01f7c1963f40b47ed72344a492cc0dc3,20,-2016.0,-2016.0,-2038.0,10800.0,10800.0
01fab556b347d6b3a56f716dbfec0190,1,-278.0,-278.0,-278.0,639.675,639.675
01fd55bba3e934d8a7c05273a494716b,1,-186.0,-186.0,-186.0,166.32,166.32
01ffe6f6c19bb9c017453d824f630dd2,1,-1046.0,-1046.0,-1046.0,721.125,721.125
020384d73eeeeabbd59d0e1e2cebcf7d,1,-29.0,-29.0,-29.0,1104.8,1104.8
020cf6fe6852e928e7a8ac1577a28e94,1,-150.0,-150.0,-150.0,237.915,237.915
020eb9d710ecab96b43d22f23f6965de,1,-138.0,-138.0,-138.0,483.525,483.525
020f9ad7ff816ed4da01fc37c8215087,1,-168.0,-168.0,-168.0,545.4,545.4
02137e30ccd7e94be408b2512d8bc4b6,1,-1086.0,-1086.0,-1086.0,217.125,217.125
021a276f2831380569672821e7d80537,1,-30.0,-30.0,-30.0,4448.48,4448.48
021ad930e7b06d804cce072470f94d93,78,-279.0,-279.0,-279.0,210.96,210.96
021e4fbb9b0e4a99095144da727d0405,1,-1076.0,-1076.0,-1076.0,96.615,96.615
02205372dce4dbaf9ad43d3165beb0ac,7,-989.0,-989.0,-961.0,9000.0,9000.0
0229f3046b1122ed9f5a1a5fdc9dc40a,1,-156.0,-156.0,-156.0,180.27,180.27
022f54928d5fb969932d8f1abcbfaf1c,11,-1022.0,-1022.0,-1022.0,126.9,126.9
022f8fdb25172f255aca9e71b474aa13,1,-30.0,-30.0,-30.0,47.88,47.88
0232bb3a77a91e70b380019585707f4e,1,-525.0,-525.0,-544.0,2250.0,2250.0
0238bf8be49f536abc8f6670b766caa7,1,-216.0,-216.0,-219.0,21701.9,21701.9
0239c4ab8cad5b4a1f9cd3690b7593b3,1,-2351.0,-2351.0,-2369.0,4500.0,4500.0
0241a2b5b07096ebaa7196952310e527,1,-586.0,-586.0,-586.0,11092.5,11092.5
0241dfa233cc4782bccb51dadba17fe4,20,-363.0,-363.0,-363.0,862.83,862.83
0241fc6d82e8c2a9d901b90cb37b1f25,1,-2075.0,-2075.0,-2080.0,9000.0,9000.0
0242322fa30e9941315b3b682bfe7efe,1,-31.0,-31.0,-32.0,5488.2,5488.2
0245157887cd8e417800ba22729598b9,1,-2067.0,-2067.0,-2061.0,2250.0,2250.0
02465bdf7adb323d74fc0e8c16df34f5,1,-2340.0,-2340.0,-2347.0,9000.0,9000.0
02486811c0dbe0428db5a54b0c1517cf,3,-1067.0,-1067.0,-1067.0,62.235,62.235
0248f108f707a8bb6072b819249f2c41,1,-162.0,-162.0,-162.0,790.965,790.965
025aa7940fbd0e9632e202409d9d120a,17,-2495.0,-2495.0,-2495.0,900.0,900.0
025e97d0604fac5f9b246cba3f89a378,1,-25.0,-25.0,-34.0,13146.9,13146.9
025fab6aca1e503be8442040f712a83e,1,-997.0,-997.0,-997.0,3538.57,3538.57
026164c64b7ea5145acf12e8251b3c34,1,-140.0,-140.0,-140.0,6023.52,6023.52
0262f693a6edeff152b9d99b09cad910,1,-1109.0,-1109.0,-1118.0,9000.0,9000.0
026f49e4551ca72e2967ba590579d3cf,1,-1267.0,-1267.0,-1267.0,278.19,278.19
027091cb369517fc2f3e732d8e763ceb,1,-1499.0,-1499.0,-1499.0,496.08,496.08
027a27bda9d828e14c17cd3bd4434ea4,4,-1647.0,-1647.0,-1647.0,316.485,316.485
027bbc2eeea5302a0653d9241895eef2,1,-222.0,-222.0,-221.0,11174.3,11174.3
0285387aff6c1c25f0568f37da220dd0,25,-1299.0,-1299.0,-1299.0,202.365,202.365
028e82457961edfcabcde3e01bbb546e,1,-202.0,-202.0,-202.0,5467.5,5467.5
